                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0757,                0.57753,                 1.1204,                0.76821,                0.82859,                0.85014,                0.50743,                 1.4244,                 0.9351,                  1.365,               0.006634,               0.006634,               0.006634
                     36,                 1.0694,                0.57376,                 1.1142,                0.80532,                0.81954,                0.86848,                0.50866,                 1.4401,                0.95098,                 1.3817,               0.006535,               0.006535,               0.006535
                     37,                  1.046,                0.55023,                  1.105,                0.81975,                0.79717,                0.84225,                0.49273,                 1.4148,                0.92376,                 1.3734,               0.006436,               0.006436,               0.006436
                     38,                 1.0551,                0.55639,                 1.1084,                0.82922,                 0.8066,                 0.8461,                0.47142,                 1.4282,                0.92136,                 1.4166,               0.006337,               0.006337,               0.006337
                     39,                 1.0491,                0.55752,                 1.1142,                0.88394,                0.84434,                 0.9008,                0.52971,                 1.3756,                 0.8412,                  1.347,               0.006238,               0.006238,               0.006238
                     40,                 1.0292,                0.55698,                 1.0957,                0.76539,                 0.8156,                 0.8713,                0.51437,                 1.4554,                0.87014,                 1.4054,               0.006139,               0.006139,               0.006139
                     41,                 1.0297,                0.53821,                 1.0948,                0.79479,                0.84434,                0.87612,                0.52206,                 1.4264,                0.85847,                 1.4008,                0.00604,                0.00604,                0.00604
                     42,                 1.0075,                0.52988,                  1.097,                0.85042,                0.83136,                0.86236,                0.51192,                 1.4144,                0.82601,                 1.4089,               0.005941,               0.005941,               0.005941
                     43,                0.99914,                0.53399,                 1.0822,                0.84099,                0.82547,                0.87299,                0.50192,                 1.4579,                0.86787,                 1.4194,               0.005842,               0.005842,               0.005842
                     44,                 0.9975,                0.53941,                 1.0748,                0.80102,                0.81132,                0.86808,                0.49848,                 1.4398,                0.89185,                 1.3933,               0.005743,               0.005743,               0.005743
                     45,                0.98623,                 0.5127,                 1.0709,                0.88695,                0.79245,                 0.8876,                0.51616,                 1.4439,                0.86937,                  1.407,               0.005644,               0.005644,               0.005644
                     46,                 0.9705,                  0.508,                 1.0794,                0.78649,                0.88679,                0.88252,                0.51202,                 1.4753,                0.86028,                 1.4367,               0.005545,               0.005545,               0.005545
                     47,                0.95062,                 0.4915,                 1.0649,                0.89346,                0.81132,                0.89263,                0.51581,                 1.4499,                0.81615,                 1.4272,               0.005446,               0.005446,               0.005446
                     48,                0.93829,                0.49084,                 1.0513,                 0.8003,                0.83962,                0.86884,                0.51092,                 1.4908,                0.90218,                 1.4446,               0.005347,               0.005347,               0.005347
                     49,                0.92996,                0.47883,                 1.0392,                0.82619,                0.82959,                0.87397,                0.49788,                 1.5043,                0.88023,                 1.4339,               0.005248,               0.005248,               0.005248
                     50,                0.92818,                0.48168,                 1.0485,                0.86423,                0.84074,                0.88967,                0.52287,                 1.3903,                0.85409,                 1.3773,               0.005149,               0.005149,               0.005149
                     51,                0.91873,                0.47707,                 1.0519,                0.87805,                0.74528,                0.85246,                0.48308,                 1.4523,                0.93371,                 1.4299,                0.00505,                0.00505,                0.00505
                     52,                 0.9045,                 0.4698,                 1.0411,                0.88993,                0.80189,                0.88831,                 0.5086,                 1.4212,                0.89917,                 1.4181,               0.004951,               0.004951,               0.004951
                     53,                0.88294,                0.46041,                 1.0381,                0.85818,                0.83019,                0.88548,                0.50783,                 1.4781,                0.91657,                 1.4811,               0.004852,               0.004852,               0.004852
                     54,                0.87859,                0.44888,                 1.0311,                0.83094,                0.85783,                0.85105,                0.49958,                 1.5139,                0.87597,                 1.5047,               0.004753,               0.004753,               0.004753
                     55,                0.88204,                0.45467,                 1.0303,                0.84817,                0.85849,                0.89724,                0.53706,                 1.4433,                0.85697,                 1.4366,               0.004654,               0.004654,               0.004654
                     56,                0.87659,                 0.4509,                 1.0334,                0.84961,                0.81132,                  0.887,                0.51465,                 1.4241,                0.91804,                 1.4426,               0.004555,               0.004555,               0.004555
                     57,                0.86522,                0.44418,                 1.0255,                0.83673,                0.82547,                 0.8752,                0.50786,                 1.4795,                0.90068,                 1.4655,               0.004456,               0.004456,               0.004456
                     58,                0.83583,                 0.4362,                 1.0107,                0.80557,                0.85991,                0.85314,                0.49638,                 1.4937,                0.93865,                 1.4881,               0.004357,               0.004357,               0.004357
                     59,                0.82606,                0.42232,                 1.0048,                0.86626,                0.79437,                0.87551,                0.50525,                 1.5171,                0.93607,                 1.5038,               0.004258,               0.004258,               0.004258
                     60,                0.82088,                0.42459,                 1.0119,                0.82834,                0.83019,                0.87082,                0.49328,                 1.5355,                0.93533,                 1.5253,               0.004159,               0.004159,               0.004159
                     61,                0.81802,                0.42481,                  1.008,                 0.8142,                0.79245,                0.86303,                0.47372,                 1.5206,                0.92229,                 1.5139,                0.00406,                0.00406,                0.00406
                     62,                0.80898,                0.42038,                0.99724,                0.79372,                0.85304,                0.85564,                0.45474,                  1.628,                 0.9739,                 1.5952,               0.003961,               0.003961,               0.003961
                     63,                0.79295,                0.41186,                0.99456,                0.80707,                0.83962,                0.84123,                 0.4815,                  1.515,                0.97384,                 1.4962,               0.003862,               0.003862,               0.003862
                     64,                0.78435,                0.40943,                0.98954,                0.78506,                0.86321,                0.87219,                0.50452,                  1.492,                 0.9652,                 1.4976,               0.003763,               0.003763,               0.003763
                     65,                0.79421,                0.41153,                0.99251,                0.82857,                0.84356,                0.86738,                0.48257,                 1.5264,                0.94714,                 1.5251,               0.003664,               0.003664,               0.003664
                     66,                0.78036,                0.39736,                0.98661,                0.85007,                 0.8023,                0.86646,                0.48921,                 1.5129,                0.94081,                 1.4924,               0.003565,               0.003565,               0.003565
                     67,                0.76403,                0.39475,                 0.9936,                0.83902,                0.83588,                0.84777,                0.46558,                 1.5804,                 0.9391,                 1.5749,               0.003466,               0.003466,               0.003466
