               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026332,            0.047503,                   0,             0.82094,             0.85377,             0.89576,             0.50901,            0.033162,            0.043355,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026391,            0.045899,                   0,              0.8377,             0.85211,             0.88969,             0.51209,            0.032891,             0.04262,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.025681,            0.046794,                   0,             0.89505,             0.82075,             0.87974,             0.49272,            0.034185,            0.044013,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02578,            0.047017,                   0,             0.87238,             0.80189,             0.86904,             0.47324,            0.033544,            0.049421,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.025021,            0.046964,                   0,             0.87925,             0.82435,             0.87412,             0.46968,             0.03554,            0.046662,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.025329,            0.046009,                   0,             0.80411,             0.82547,             0.84144,             0.44934,            0.036289,            0.049583,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.024971,            0.045458,                   0,             0.82002,             0.85849,             0.86268,             0.48129,            0.033872,            0.046063,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025648,            0.045836,                   0,             0.82524,             0.81604,             0.88227,             0.49522,            0.033766,            0.046088,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025087,            0.045846,                   0,             0.80372,             0.84987,             0.85402,             0.46649,            0.034821,            0.050034,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024798,            0.044192,                   0,             0.81793,             0.85849,             0.88792,             0.49782,            0.034144,            0.047081,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024198,            0.044715,                   0,             0.82051,             0.85849,             0.87496,             0.49756,            0.033708,            0.047971,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024366,             0.04393,                   0,             0.80978,             0.83962,             0.87279,             0.49978,             0.03454,            0.046108,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024303,            0.044924,                   0,             0.83527,             0.86792,             0.88699,             0.50297,            0.034963,            0.044187,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023807,            0.043825,                   0,             0.85039,             0.82075,              0.8659,             0.47889,            0.035469,            0.044947,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024149,            0.044669,                   0,             0.83712,             0.86321,              0.8588,             0.47159,            0.035475,            0.046688,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023365,            0.045156,                   0,             0.83425,             0.84906,             0.88587,             0.50603,            0.033951,            0.045727,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023417,            0.042991,                   0,              0.8521,             0.84434,             0.86749,             0.48913,            0.034876,            0.047365,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022967,            0.041694,                   0,             0.83471,             0.84434,             0.84473,             0.46892,            0.035278,              0.0481,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.02313,            0.042001,                   0,              0.8386,             0.85778,             0.88065,             0.50032,             0.03425,            0.045721,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022534,            0.042164,                   0,             0.79159,             0.85997,             0.87011,             0.50554,            0.033759,            0.046617,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022818,            0.041631,                   0,             0.83197,             0.85849,             0.86882,             0.49369,            0.033772,            0.048235,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022548,            0.041296,                   0,             0.80284,             0.84906,             0.87247,             0.49101,            0.034355,            0.051394,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021973,             0.04159,                   0,             0.82533,             0.86321,             0.87907,             0.49716,            0.034092,            0.047945,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022122,            0.041031,                   0,             0.85097,             0.86192,             0.89734,             0.48627,            0.034697,            0.048454,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021868,            0.040248,                   0,             0.84715,             0.83491,             0.86387,             0.46287,            0.034876,            0.050305,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021781,            0.040112,                   0,             0.86729,             0.85377,             0.85307,             0.47451,            0.034938,            0.048712,                   0,            0.003763,            0.003763,            0.003763
                  65,              0.0214,            0.040883,                   0,             0.84448,             0.82547,             0.85527,             0.46906,            0.035251,            0.050517,                   0,            0.003664,            0.003664,            0.003664
                  66,              0.0209,            0.039713,                   0,              0.8279,             0.86226,             0.84733,             0.46663,            0.034586,            0.049067,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021042,            0.039996,                   0,             0.85564,             0.83962,             0.84919,             0.46101,            0.035479,            0.050911,                   0,            0.003466,            0.003466,            0.003466
