                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2443,                0.81898,                 1.1428,                0.78952,                0.84906,                0.88339,                0.49146,                 1.3998,                0.95478,                  1.252,               0.006634,               0.006634,               0.006634
                     36,                  1.231,                0.81063,                 1.1344,                0.73837,                0.77358,                0.81226,                0.43818,                 1.3952,                 1.1222,                 1.2598,               0.006535,               0.006535,               0.006535
                     37,                 1.2249,                 0.7936,                  1.136,                0.81347,                0.83491,                0.86312,                 0.4643,                   1.43,                 0.9651,                 1.2509,               0.006436,               0.006436,               0.006436
                     38,                 1.2359,                0.79489,                 1.1385,                0.84891,                 0.8066,                0.87315,                0.49947,                 1.3752,                0.94511,                 1.2382,               0.006337,               0.006337,               0.006337
                     39,                 1.2258,                 0.7924,                 1.1403,                0.88478,                0.85377,                0.90372,                0.51648,                 1.3861,                0.91068,                 1.2365,               0.006238,               0.006238,               0.006238
                     40,                 1.2287,                 0.7954,                 1.1373,                 0.7921,                0.83491,                 0.8409,                0.44587,                 1.4149,                0.96828,                 1.2669,               0.006139,               0.006139,               0.006139
                     41,                 1.2318,                0.79495,                 1.1355,                0.84689,                0.86321,                0.90371,                0.50633,                 1.3833,                0.91325,                 1.2522,                0.00604,                0.00604,                0.00604
                     42,                 1.2143,                0.77136,                 1.1321,                0.78259,                0.88679,                 0.8799,                0.49083,                  1.377,                0.91369,                 1.2502,               0.005941,               0.005941,               0.005941
                     43,                 1.2053,                0.77347,                 1.1285,                0.78151,                0.79298,                0.85393,                0.46396,                 1.4318,                0.99491,                 1.2735,               0.005842,               0.005842,               0.005842
                     44,                 1.2126,                0.78822,                 1.1244,                0.87218,                0.81132,                0.88269,                0.51141,                 1.3678,                0.87745,                 1.2339,               0.005743,               0.005743,               0.005743
                     45,                 1.1998,                0.75727,                 1.1226,                0.84025,                0.87264,                0.89561,                0.51122,                 1.3929,                0.88895,                 1.2422,               0.005644,               0.005644,               0.005644
                     46,                 1.1815,                0.74643,                 1.1188,                0.84783,                 0.8066,                0.87385,                0.50665,                 1.3949,                0.89482,                 1.2613,               0.005545,               0.005545,               0.005545
                     47,                  1.191,                0.74134,                 1.1236,                0.79197,                0.84402,                0.87874,                0.49396,                  1.415,                0.94083,                  1.268,               0.005446,               0.005446,               0.005446
                     48,                 1.1813,                0.74465,                 1.1194,                0.87367,                0.76887,                0.86735,                0.48606,                 1.4002,                0.93653,                 1.2489,               0.005347,               0.005347,               0.005347
                     49,                 1.1895,                0.73231,                  1.115,                0.84064,                0.84906,                0.89528,                0.50032,                 1.3879,                0.88881,                 1.2532,               0.005248,               0.005248,               0.005248
                     50,                 1.1822,                0.73017,                 1.1184,                0.86302,                0.82075,                0.88849,                0.51996,                 1.4031,                0.88254,                 1.2347,               0.005149,               0.005149,               0.005149
                     51,                 1.1785,                0.72937,                 1.1195,                0.79767,                0.86792,                0.89669,                0.50226,                 1.4495,                0.90439,                 1.2485,                0.00505,                0.00505,                0.00505
                     52,                 1.1736,                0.72042,                  1.111,                0.83527,                0.83491,                 0.8933,                0.51102,                 1.4081,                0.88792,                 1.2454,               0.004951,               0.004951,               0.004951
                     53,                 1.1621,                0.71044,                 1.1082,                0.79613,                0.81604,                0.86484,                0.48445,                 1.3941,                0.88906,                 1.2545,               0.004852,               0.004852,               0.004852
                     54,                 1.1538,                0.69474,                 1.0989,                0.83734,                0.84987,                0.90998,                0.51294,                 1.4115,                0.85725,                 1.2439,               0.004753,               0.004753,               0.004753
                     55,                 1.1546,                0.70123,                  1.099,                0.86215,                0.78774,                0.89298,                0.49896,                 1.4151,                0.90905,                 1.2394,               0.004654,               0.004654,               0.004654
                     56,                 1.1569,                0.70924,                 1.1089,                0.86275,                0.83019,                0.90674,                0.51196,                 1.4266,                0.88578,                 1.2334,               0.004555,               0.004555,               0.004555
                     57,                 1.1501,                0.69848,                 1.1013,                0.84893,                0.87472,                0.88998,                0.48695,                  1.443,                0.86474,                 1.2614,               0.004456,               0.004456,               0.004456
                     58,                 1.1288,                0.68605,                 1.0896,                0.85022,                0.80327,                 0.8929,                0.47901,                 1.4412,                0.91277,                 1.2705,               0.004357,               0.004357,               0.004357
                     59,                  1.121,                0.67115,                 1.0815,                0.86915,                0.79717,                0.90216,                0.51616,                 1.4077,                0.87735,                 1.2279,               0.004258,               0.004258,               0.004258
                     60,                 1.1256,                0.67471,                 1.0909,                0.86711,                0.83491,                0.90658,                0.51209,                 1.3964,                0.84468,                 1.2478,               0.004159,               0.004159,               0.004159
                     61,                  1.128,                0.68011,                 1.0884,                0.76753,                0.89151,                0.89814,                 0.4801,                 1.4641,                0.89623,                 1.2735,                0.00406,                0.00406,                0.00406
                     62,                 1.1258,                0.66466,                 1.0829,                0.79774,                0.83722,                0.86752,                0.46105,                 1.4732,                0.92656,                 1.2615,               0.003961,               0.003961,               0.003961
                     63,                  1.112,                0.65176,                 1.0769,                0.86045,                0.84434,                0.88247,                0.49156,                 1.4394,                0.88948,                 1.2649,               0.003862,               0.003862,               0.003862
                     64,                 1.1116,                0.65077,                 1.0789,                0.82608,                0.85137,                0.86903,                0.47709,                 1.4583,                0.85415,                 1.2628,               0.003763,               0.003763,               0.003763
                     65,                 1.1187,                0.66012,                 1.0849,                0.80645,                0.85849,                0.90178,                0.48798,                 1.4551,                0.90197,                  1.276,               0.003664,               0.003664,               0.003664
                     66,                 1.1078,                0.64248,                 1.0807,                0.79849,                0.85377,                0.87044,                0.47624,                 1.4768,                0.88451,                  1.291,               0.003565,               0.003565,               0.003565
                     67,                 1.0897,                0.63688,                 1.0829,                0.87059,                0.82506,                0.87415,                0.46793,                 1.4641,                0.90002,                 1.2933,               0.003466,               0.003466,               0.003466
                     68,                 1.0971,                0.63884,                 1.0711,                0.84764,                0.83962,                0.88959,                0.50182,                 1.4114,                0.88948,                  1.247,               0.003367,               0.003367,               0.003367
