                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0216,                0.52109,                 1.1313,                0.85101,                0.75943,                0.85859,                0.51416,                 1.4748,                0.86961,                 1.4938,               0.006634,               0.006634,               0.006634
                     36,                0.99886,                0.52173,                 1.1102,                 0.8004,                0.75472,                0.84936,                 0.4828,                 1.4425,                0.92947,                 1.4565,               0.006535,               0.006535,               0.006535
                     37,                 0.9728,                0.49402,                 1.1003,                0.77957,                0.81741,                0.84979,                 0.4654,                 1.5064,                0.90193,                  1.505,               0.006436,               0.006436,               0.006436
                     38,                 0.9786,                0.49244,                 1.1019,                0.85268,                0.81904,                0.87099,                0.47469,                 1.5427,                0.86125,                 1.5169,               0.006337,               0.006337,               0.006337
                     39,                0.96535,                0.48674,                 1.1025,                0.89748,                0.78774,                0.87157,                0.47839,                 1.5038,                0.85675,                  1.512,               0.006238,               0.006238,               0.006238
                     40,                0.96083,                0.48808,                 1.0908,                0.80884,                0.84434,                0.87883,                0.50682,                 1.4894,                0.87067,                 1.4777,               0.006139,               0.006139,               0.006139
                     41,                0.95083,                0.48388,                 1.0859,                0.83119,                0.80189,                0.87889,                 0.4992,                 1.4749,                0.86742,                 1.4781,                0.00604,                0.00604,                0.00604
                     42,                0.92565,                0.46905,                  1.079,                0.86461,                0.76887,                0.85063,                0.48146,                 1.4932,                0.91386,                 1.4967,               0.005941,               0.005941,               0.005941
                     43,                0.90451,                0.46766,                  1.071,                0.78302,                0.77358,                0.82634,                 0.4674,                 1.4949,                 0.9509,                 1.5333,               0.005842,               0.005842,               0.005842
                     44,                0.91662,                0.46508,                 1.0672,                0.83814,                0.80603,                0.86916,                0.49435,                 1.4308,                0.83752,                 1.5141,               0.005743,               0.005743,               0.005743
                     45,                0.88986,                 0.4557,                 1.0634,                0.83379,                 0.7783,                0.86532,                0.50283,                 1.4777,                 0.9044,                 1.5485,               0.005644,               0.005644,               0.005644
                     46,                0.87276,                0.45176,                 1.0668,                0.84717,                0.81132,                0.85839,                0.49892,                 1.4598,                0.83689,                 1.5202,               0.005545,               0.005545,               0.005545
                     47,                0.85682,                0.43625,                 1.0535,                0.82253,                0.84434,                0.84243,                0.49381,                 1.5084,                0.81548,                  1.545,               0.005446,               0.005446,               0.005446
                     48,                0.83636,                0.43177,                 1.0427,                 0.8104,                 0.8066,                0.85385,                0.50355,                 1.4819,                 0.8508,                 1.5373,               0.005347,               0.005347,               0.005347
                     49,                0.83621,                0.42592,                 1.0341,                 0.8404,                0.84449,                   0.86,                0.49025,                 1.5098,                0.83359,                 1.5935,               0.005248,               0.005248,               0.005248
                     50,                 0.8217,                0.42088,                 1.0389,                0.79008,                0.81665,                0.84516,                0.48957,                 1.4594,                0.89899,                 1.5384,               0.005149,               0.005149,               0.005149
                     51,                0.80724,                0.41279,                 1.0362,                0.80052,                0.84434,                0.80424,                0.46369,                 1.4934,                0.94171,                 1.6089,                0.00505,                0.00505,                0.00505
                     52,                0.80115,                0.40498,                 1.0324,                0.83336,                0.84925,                 0.8851,                0.51045,                  1.483,                0.88265,                 1.5911,               0.004951,               0.004951,               0.004951
                     53,                0.78438,                0.39733,                 1.0269,                0.81521,                0.83237,                0.86582,                0.49846,                 1.4965,                0.90265,                   1.63,               0.004852,               0.004852,               0.004852
                     54,                0.77689,                0.38782,                 1.0235,                0.80616,                0.84356,                 0.8532,                0.48647,                 1.5328,                0.97407,                 1.6511,               0.004753,               0.004753,               0.004753
                     55,                0.77549,                0.39723,                 1.0167,                0.83417,                0.84434,                0.87677,                0.49454,                 1.5114,                0.88694,                 1.6091,               0.004654,               0.004654,               0.004654
                     56,                0.75725,                0.39199,                 1.0146,                0.84537,                0.78302,                0.84816,                0.47831,                 1.5352,                0.95083,                  1.639,               0.004555,               0.004555,               0.004555
                     57,                0.75416,                0.38361,                   1.01,                0.80364,                0.82075,                0.85307,                0.49823,                 1.4823,                 0.9215,                  1.604,               0.004456,               0.004456,               0.004456
                     58,                0.73493,                0.37094,                 1.0044,                0.81951,                0.86321,                0.87477,                0.50176,                 1.5106,                0.86989,                  1.628,               0.004357,               0.004357,               0.004357
                     59,                0.71114,                0.36231,                0.98938,                0.87656,                0.78774,                0.87808,                0.52035,                 1.4825,                0.84781,                 1.5981,               0.004258,               0.004258,               0.004258
                     60,                0.71776,                0.36587,                0.99926,                0.81292,                0.84434,                0.86508,                0.49674,                 1.5315,                0.88585,                  1.666,               0.004159,               0.004159,               0.004159
                     61,                0.70587,                0.35899,                0.99011,                 0.8916,                0.77358,                0.87312,                0.49975,                  1.547,                0.89957,                 1.6825,                0.00406,                0.00406,                0.00406
                     62,                0.69995,                 0.3597,                0.98326,                 0.8027,                0.87264,                0.86135,                0.48611,                 1.5445,                0.87246,                 1.6669,               0.003961,               0.003961,               0.003961
                     63,                0.66978,                0.34544,                0.97156,                0.85015,                 0.8066,                0.87824,                0.52408,                 1.4475,                0.83705,                 1.6153,               0.003862,               0.003862,               0.003862
                     64,                0.67652,                 0.3467,                 0.9726,                0.82712,                0.84434,                0.89158,                0.52051,                 1.4565,                0.83754,                 1.6072,               0.003763,               0.003763,               0.003763
                     65,                0.67968,                0.35755,                0.97738,                0.83508,                0.83491,                0.88444,                 0.5006,                 1.4959,                0.84883,                 1.6366,               0.003664,               0.003664,               0.003664
                     66,                0.66673,                0.33927,                0.96708,                0.85802,                0.85518,                0.87311,                0.51289,                 1.4548,                0.80123,                 1.6171,               0.003565,               0.003565,               0.003565
                     67,                0.65304,                 0.3408,                 0.9729,                0.84215,                0.85564,                0.87422,                0.50435,                 1.5024,                0.87115,                 1.6543,               0.003466,               0.003466,               0.003466
                     68,                0.64232,                0.33314,                0.95525,                0.82937,                 0.8254,                0.85554,                0.50057,                 1.4882,                0.90256,                 1.6309,               0.003367,               0.003367,               0.003367
                     69,                0.62687,                0.32889,                0.95744,                0.83838,                 0.8066,                 0.8902,                0.51216,                 1.5339,                0.86001,                 1.6699,               0.003268,               0.003268,               0.003268
                     70,                0.62933,                0.32759,                0.95312,                0.84459,                0.82029,                0.89795,                0.51753,                  1.535,                0.83253,                 1.6702,               0.003169,               0.003169,               0.003169
                     71,                0.61364,                0.31782,                0.95413,                0.85295,                 0.8482,                0.89686,                 0.5131,                 1.5233,                0.85816,                 1.6664,                0.00307,                0.00307,                0.00307
                     72,                0.61193,                 0.3168,                 0.9505,                0.82557,                0.87736,                0.88169,                0.50943,                 1.4934,                0.88293,                  1.631,               0.002971,               0.002971,               0.002971
                     73,                0.59275,                0.31281,                 0.9354,                0.84026,                0.86321,                 0.8886,                0.51432,                 1.5075,                0.87262,                 1.6828,               0.002872,               0.002872,               0.002872
                     74,                0.59531,                0.31331,                0.94274,                0.81497,                0.85184,                0.87701,                0.50985,                 1.5279,                0.90175,                 1.6819,               0.002773,               0.002773,               0.002773
                     75,                0.57711,                0.30252,                0.93133,                0.86929,                0.85849,                0.88982,                0.50868,                  1.525,                0.88643,                 1.7045,               0.002674,               0.002674,               0.002674
                     76,                  0.565,                0.29592,                0.92482,                0.86241,                0.85742,                0.87528,                0.49748,                 1.5317,                0.88593,                 1.6835,               0.002575,               0.002575,               0.002575
                     77,                0.56196,                0.29588,                0.93052,                 0.8639,                0.83837,                0.87638,                0.51085,                 1.5299,                0.91281,                 1.7098,               0.002476,               0.002476,               0.002476
                     78,                0.56073,                0.29501,                0.92844,                0.85555,                 0.8066,                0.87335,                0.49924,                 1.5243,                0.92974,                 1.7059,               0.002377,               0.002377,               0.002377
                     79,                0.55209,                0.28685,                0.92648,                0.87679,                0.79245,                0.87852,                0.51484,                 1.5104,                 0.9122,                 1.7118,               0.002278,               0.002278,               0.002278
                     80,                0.54046,                0.28559,                0.91732,                0.80062,                0.87129,                0.87758,                0.50791,                 1.5315,                0.89513,                 1.7269,               0.002179,               0.002179,               0.002179
                     81,                0.54147,                0.28566,                0.92609,                0.82784,                0.86189,                0.87373,                0.50275,                 1.5399,                0.90864,                 1.7352,                0.00208,                0.00208,                0.00208
                     82,                0.53085,                0.27637,                 0.9183,                0.84012,                 0.8675,                0.86446,                 0.5004,                 1.5377,                0.93477,                 1.7533,               0.001981,               0.001981,               0.001981
                     83,                0.53357,                0.27859,                0.92318,                0.82255,                0.86321,                0.86879,                0.50252,                 1.5407,                0.91571,                 1.7614,               0.001882,               0.001882,               0.001882
                     84,                0.52334,                0.27824,                0.91472,                0.88016,                0.83142,                0.88554,                0.51549,                 1.5458,                0.90131,                 1.7636,               0.001783,               0.001783,               0.001783
                     85,                0.51427,                0.27576,                 0.9177,                0.87475,                 0.8236,                 0.8647,                0.51149,                 1.5508,                0.89957,                 1.8102,               0.001684,               0.001684,               0.001684
                     86,                0.50957,                0.27126,                0.92214,                0.84404,                0.84241,                0.85202,                 0.4999,                 1.5358,                0.93439,                 1.7777,               0.001585,               0.001585,               0.001585
                     87,                0.50058,                0.26801,                0.91185,                0.84572,                0.81604,                0.85705,                0.49441,                 1.5438,                0.93133,                 1.7687,               0.001486,               0.001486,               0.001486
                     88,                0.49795,                 0.2663,                0.91463,                0.86525,                0.81778,                0.87286,                0.50416,                 1.5345,                0.91232,                 1.7595,               0.001387,               0.001387,               0.001387
                     89,                0.48603,                0.25909,                0.90518,                0.85617,                0.83019,                0.87026,                0.50907,                 1.5423,                0.90105,                 1.7827,               0.001288,               0.001288,               0.001288
                     90,                0.48278,                0.25758,                0.90432,                0.86349,                0.82547,                0.86754,                0.50645,                 1.5196,                0.87529,                 1.7669,               0.001189,               0.001189,               0.001189
                     91,                0.47233,                0.25554,                0.89632,                0.84767,                0.84906,                0.85692,                0.50011,                 1.5078,                0.88596,                  1.756,                0.00109,                0.00109,                0.00109
                     92,                0.47096,                0.25172,                0.90309,                0.86387,                0.83812,                0.85147,                0.49644,                 1.5238,                0.94202,                 1.7891,               0.000991,               0.000991,               0.000991
                     93,                0.46752,                0.25186,                0.90226,                 0.8739,                0.81604,                0.86192,                0.50864,                 1.5173,                0.95647,                 1.7729,               0.000892,               0.000892,               0.000892
                     94,                0.45846,                0.24637,                0.89551,                0.88195,                0.82075,                0.86443,                0.51038,                 1.5248,                0.93814,                 1.7845,               0.000793,               0.000793,               0.000793
                     95,                0.44227,                0.23818,                 0.8919,                0.84603,                0.84434,                0.86281,                0.50739,                  1.525,                0.91056,                 1.8059,               0.000694,               0.000694,               0.000694
                     96,                0.46332,                0.25163,                 0.8987,                0.87565,                0.83962,                0.86181,                0.51524,                 1.5062,                0.91617,                 1.7809,               0.000595,               0.000595,               0.000595
                     97,                0.45415,                0.24469,                0.89444,                0.86788,                0.85377,                0.87038,                0.51781,                 1.5013,                0.91474,                 1.7648,               0.000496,               0.000496,               0.000496
                     98,                 0.4407,                0.24125,                0.89298,                0.86615,                0.85466,                0.87762,                0.51786,                 1.5003,                0.91836,                 1.7748,               0.000397,               0.000397,               0.000397
                     99,                  0.445,                0.24202,                 0.8936,                0.87059,                0.85849,                0.87917,                0.51799,                 1.4988,                0.91308,                 1.7863,               0.000298,               0.000298,               0.000298
