                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0679,                0.55948,                 1.1555,                0.89158,                0.77358,                0.88913,                0.49071,                 1.4762,                0.84007,                 1.4484,               0.006634,               0.006634,               0.006634
                     36,                  1.048,                0.56106,                 1.1342,                0.81979,                0.82075,                0.87422,                0.49925,                 1.4469,                0.89736,                 1.4133,               0.006535,               0.006535,               0.006535
                     37,                  1.026,                0.53175,                  1.122,                0.88847,                0.78908,                0.87836,                0.49699,                 1.4583,                0.83002,                 1.4436,               0.006436,               0.006436,               0.006436
                     38,                 1.0294,                0.53017,                 1.1233,                0.84432,                   0.75,                0.86326,                0.48003,                 1.5468,                  0.909,                 1.4934,               0.006337,               0.006337,               0.006337
                     39,                 1.0171,                0.52186,                 1.1258,                0.84935,                0.85377,                0.89663,                0.49068,                 1.5016,                 0.8674,                 1.4889,               0.006238,               0.006238,               0.006238
                     40,                 1.0136,                  0.522,                  1.126,                0.85819,                0.82781,                0.88845,                0.48812,                 1.5083,                0.81816,                 1.4861,               0.006139,               0.006139,               0.006139
                     41,                 1.0048,                0.51527,                 1.1179,                0.85568,                0.83962,                0.88211,                0.49308,                 1.4699,                0.84401,                 1.4847,                0.00604,                0.00604,                0.00604
                     42,                0.97336,                0.49746,                 1.1073,                0.88602,                0.84335,                0.90778,                0.51415,                 1.4881,                0.77584,                  1.461,               0.005941,               0.005941,               0.005941
                     43,                 0.9594,                0.49246,                 1.0969,                0.81655,                0.81132,                0.86235,                  0.467,                 1.5242,                0.86694,                  1.488,               0.005842,               0.005842,               0.005842
                     44,                0.95708,                0.50241,                 1.0815,                0.83061,                0.83269,                0.85455,                0.47789,                 1.4857,                0.90729,                 1.4966,               0.005743,               0.005743,               0.005743
                     45,                0.94879,                0.48763,                 1.0846,                0.84212,                0.85547,                0.88331,                0.51104,                 1.4706,                0.82756,                 1.4875,               0.005644,               0.005644,               0.005644
                     46,                0.92707,                 0.4793,                 1.0854,                0.80499,                0.83019,                0.87333,                0.51601,                 1.4541,                0.86716,                 1.4757,               0.005545,               0.005545,               0.005545
                     47,                0.91567,                0.46663,                 1.0739,                0.77662,                0.81996,                0.85828,                0.49049,                 1.4927,                0.89906,                 1.5023,               0.005446,               0.005446,               0.005446
                     48,                0.89858,                0.46291,                 1.0745,                0.85678,                0.81835,                0.85307,                0.47666,                 1.4921,                0.86053,                 1.4821,               0.005347,               0.005347,               0.005347
                     49,                0.88825,                0.44784,                 1.0584,                0.76123,                0.85718,                0.85683,                 0.4898,                 1.5096,                0.89593,                 1.5267,               0.005248,               0.005248,               0.005248
                     50,                0.89458,                0.44922,                 1.0674,                0.79375,                0.84906,                0.86018,                0.48645,                 1.5526,                0.93722,                 1.5671,               0.005149,               0.005149,               0.005149
                     51,                0.87497,                0.44774,                 1.0621,                0.77914,                0.83204,                0.83745,                0.46617,                 1.4847,                0.92948,                 1.5049,                0.00505,                0.00505,                0.00505
                     52,                0.86621,                0.43987,                  1.052,                0.81301,                0.83962,                 0.8346,                0.48584,                 1.4894,                0.87504,                 1.5082,               0.004951,               0.004951,               0.004951
                     53,                0.85117,                0.42625,                 1.0483,                0.80223,                0.82274,                0.83056,                0.48299,                 1.4972,                0.88461,                 1.5387,               0.004852,               0.004852,               0.004852
                     54,                0.83968,                0.42309,                 1.0357,                0.76869,                0.84434,                 0.8382,                0.48641,                 1.5058,                0.92592,                 1.5268,               0.004753,               0.004753,               0.004753
                     55,                0.83116,                0.42604,                 1.0297,                0.80641,                0.82528,                0.83802,                  0.499,                 1.4836,                0.96825,                 1.5337,               0.004654,               0.004654,               0.004654
                     56,                0.82169,                0.42716,                  1.031,                0.84652,                0.75448,                 0.8247,                 0.4664,                  1.554,                0.98221,                 1.5697,               0.004555,               0.004555,               0.004555
                     57,                0.81626,                0.41657,                 1.0232,                0.82095,                0.80023,                0.86526,                 0.4821,                 1.4924,                 0.9071,                 1.5569,               0.004456,               0.004456,               0.004456
